marital,age,sex,race,hompop,happy,health,satjob,fincome
2,64,1,1,3,2,2,0,76600
1,41,1,1,5,2,1,1,76600
3,57,1,1,8,3,3,0,24895
1,46,2,1,3,2,0,2,0
1,58,2,1,2,2,1,2,178712.4649
1,78,2,1,2,1,1,0,42130
1,45,2,1,5,2,1,1,178712.4649
5,38,2,1,3,2,0,2,28725
5,69,2,1,1,3,1,0,24895
1,61,1,1,2,1,1,2,107240
1,48,2,1,2,2,1,2,178712.4649
1,37,1,1,2,2,0,2,63195
3,47,1,1,1,2,3,3,8617.5
5,26,1,3,1,2,2,1,51705
3,41,2,1,1,2,1,1,42130
3,55,2,1,1,3,1,3,2681
2,81,2,1,1,1,0,0,6894
5,32,1,1,2,2,2,1,76600
1,27,1,1,3,1,2,1,34470
4,32,2,1,2,2,0,3,14362.5
1,39,2,1,5,2,2,2,76600
1,55,2,1,2,2,3,2,63195
1,35,1,1,2,2,1,1,178712.4649
5,64,1,1,1,1,1,1,24895
2,85,2,1,1,2,3,1,18192.5
5,52,1,1,1,2,2,1,21065
5,46,2,1,2,2,3,0,0
5,34,2,3,4,3,3,2,1532
1,55,2,1,4,2,0,0,12447.5
2,72,1,1,1,2,1,0,10532.5
3,34,2,1,2,2,0,1,28725
1,35,1,1,2,2,1,2,63195
1,61,2,1,2,2,0,1,91920
3,56,1,1,1,2,4,0,18192.5
3,60,2,1,1,2,3,0,8617.5
1,65,2,1,2,2,2,0,76600
1,85,1,1,2,1,1,0,42130
5,42,1,1,3,2,0,1,63195
5,27,2,1,3,1,2,2,178712.4649
2,85,2,1,1,2,3,0,0
1,63,2,1,2,2,2,1,76600
1,61,2,1,4,2,1,1,76600
1,27,2,3,2,2,0,2,107240
5,48,1,1,1,3,2,4,107240
5,25,1,3,2,1,0,2,91920
1,34,1,3,6,1,0,0,178712.4649
1,37,2,3,4,3,2,1,178712.4649
2,64,2,1,1,3,4,0,8617.5
2,82,1,1,1,2,0,1,91920
1,43,2,1,4,2,2,0,0
3,54,2,1,1,3,3,0,3447
5,25,2,1,2,2,3,2,12447.5
3,78,2,1,1,2,2,0,18192.5
5,19,2,2,2,2,3,1,28725
3,64,1,1,2,2,0,0,12447.5
5,23,1,2,4,2,2,2,63195
5,31,2,1,2,2,2,1,178712.4649
1,41,1,1,2,1,2,1,178712.4649
5,29,2,2,1,2,2,2,21065
3,51,2,1,3,1,0,3,28725
3,55,1,3,1,2,0,1,34470
1,36,2,2,4,3,2,2,63195
2,87,2,1,1,2,0,0,24895
5,28,1,1,2,2,0,1,63195
1,35,1,1,2,2,1,2,178712.4649
5,37,1,3,1,1,1,2,178712.4649
2,84,1,1,1,2,0,0,42130
5,21,1,1,2,1,1,0,10532.5
1,49,1,3,4,2,2,1,107240
1,42,2,3,5,1,2,1,42130
1,69,2,1,2,2,0,0,0
1,32,2,1,2,1,1,2,107240
1,69,2,2,2,2,2,0,91920
1,48,2,1,2,2,1,2,0
5,20,1,1,4,2,4,2,42130
1,51,2,1,2,1,1,1,0
1,60,1,1,2,2,2,2,51705
1,59,2,1,2,2,0,3,51705
2,89,2,1,1,3,3,1,34470
5,18,2,1,2,2,3,3,24895
1,62,2,1,2,1,1,0,91920
1,54,2,1,4,2,0,2,51705
5,19,2,2,5,2,2,2,76600
1,38,2,2,5,2,3,1,34470
1,31,1,1,2,1,2,2,63195
5,51,2,1,1,2,0,2,28725
5,23,1,1,6,2,1,2,14362.5
5,48,2,1,2,2,4,1,76600
3,45,2,2,1,2,0,1,42130
5,20,1,1,3,2,3,2,63195
1,70,2,1,2,2,0,0,51705
1,58,2,1,2,1,3,2,107240
3,63,1,1,1,0,1,1,178712.4649
1,44,2,1,2,1,1,1,178712.4649
2,87,2,1,1,1,0,0,0
1,50,2,1,2,1,0,2,0
3,52,2,2,1,1,0,3,18192.5
1,32,1,1,2,1,2,1,51705
1,43,1,1,4,2,0,1,178712.4649
1,51,2,1,2,1,1,2,178712.4649
3,58,1,1,1,2,2,1,63195
1,75,2,1,2,2,2,0,0
1,71,2,1,2,1,1,1,63195
2,72,2,1,1,3,3,0,63195
3,64,2,1,2,1,1,1,16277.5
5,35,2,1,2,3,0,2,4979
1,34,1,2,5,3,0,2,63195
1,71,1,2,2,1,2,1,76600
3,41,1,1,1,2,2,1,12447.5
1,34,1,1,3,2,0,2,91920
3,50,1,2,2,2,2,1,10532.5
5,23,2,1,6,2,3,1,34470
3,53,1,1,1,1,3,0,18192.5
2,64,1,2,1,2,0,0,24895
1,41,1,1,4,2,0,2,0
5,46,1,2,1,2,3,3,16277.5
5,54,1,1,3,3,2,2,76600
1,67,1,1,2,1,0,1,63195
3,53,2,1,1,3,2,2,42130
1,59,2,1,2,1,3,0,63195
1,65,2,1,2,1,2,1,0
1,51,1,1,3,1,0,2,76600
5,39,1,3,3,2,2,1,0
3,49,2,1,3,2,0,2,63195
1,30,2,1,2,1,1,1,178712.4649
3,57,2,1,2,2,0,0,91920
1,36,1,1,2,2,1,1,107240
3,39,2,1,3,1,0,1,178712.4649
1,38,2,3,4,2,2,0,76600
1,46,1,1,5,2,1,2,178712.4649
1,41,1,1,4,2,1,2,178712.4649
5,29,1,3,3,2,0,1,51705
4,58,1,1,2,2,2,1,0
1,48,2,3,2,2,2,1,178712.4649
5,31,1,1,1,1,1,0,0
3,54,2,2,1,3,0,3,34470
5,37,2,2,1,2,0,1,6894
2,48,2,2,3,2,2,2,42130
5,58,1,2,3,2,3,1,0
3,77,2,2,1,2,0,1,8617.5
5,44,2,1,1,2,3,2,18192.5
5,27,2,1,2,3,3,1,0
5,19,1,1,7,2,3,2,107240
3,55,1,1,2,2,4,1,42130
1,52,2,1,3,2,1,1,63195
1,63,1,1,2,2,0,0,21065
1,39,2,1,4,2,3,2,42130
1,68,2,2,5,1,0,1,76600
1,82,1,1,1,3,0,0,0
3,59,2,2,2,2,3,4,0
2,64,2,1,1,1,0,1,0
5,47,2,2,1,3,0,3,0
1,45,1,2,3,2,2,3,51705
1,37,1,1,2,3,4,1,63195
5,20,1,3,4,3,0,1,16277.5
1,31,1,2,3,2,3,2,63195
5,22,2,1,3,2,0,1,2681
2,61,2,1,1,2,0,0,51705
1,56,2,1,2,1,0,1,91920
2,34,1,1,5,2,2,1,51705
1,53,1,3,4,2,0,1,51705
1,22,1,3,6,2,2,1,21065
4,39,2,3,4,1,0,1,14362.5
1,25,1,3,4,1,1,1,18192.5
1,75,1,1,2,1,0,0,21065
1,44,1,1,4,2,2,1,91920
5,26,1,1,1,2,2,0,10532.5
1,40,2,1,3,1,2,1,63195
5,33,2,1,6,2,3,1,34470
1,49,1,3,4,2,0,2,42130
1,49,2,1,2,1,2,1,76600
1,48,1,1,4,2,2,1,178712.4649
5,40,1,1,1,2,2,2,91920
2,80,1,2,1,2,1,0,0
5,21,2,2,4,1,0,3,383
1,38,1,2,2,1,1,1,383
1,74,1,1,2,2,2,0,34470
1,75,1,1,1,2,1,0,51705
1,40,2,1,2,2,1,1,107240
1,50,2,1,4,1,1,1,0
1,48,2,1,2,2,0,2,63195
1,32,1,1,3,2,3,3,24895
1,41,1,3,5,1,2,2,51705
1,26,2,1,3,2,3,0,0
3,57,2,2,2,3,0,2,28725
5,30,2,2,1,3,2,0,383
3,41,2,2,5,3,2,1,5745
5,50,1,2,1,2,3,2,383
5,30,1,1,2,2,2,3,24895
5,47,2,2,2,2,0,2,18192.5
5,65,2,2,1,2,3,1,3447
1,43,1,3,2,3,0,1,0
5,20,1,2,2,2,3,0,42130
1,47,2,2,2,2,0,1,63195
5,31,1,3,2,2,2,2,34470
1,35,1,2,6,2,0,1,42130
1,58,1,1,2,2,2,2,34470
1,66,2,1,3,2,0,0,42130
5,37,2,1,7,2,2,2,21065
4,40,2,1,1,2,3,1,63195
1,56,1,1,2,2,0,2,178712.4649
1,49,2,1,2,2,2,2,76600
1,30,2,1,2,2,1,1,51705
1,45,2,1,6,2,3,1,91920
2,77,1,2,1,2,3,0,42130
5,30,2,2,1,2,2,3,8617.5
1,43,1,2,6,1,1,2,21065
5,31,2,2,1,2,0,2,12447.5
5,58,2,2,1,2,1,3,0
1,62,1,2,2,2,2,1,21065
2,73,1,2,1,3,0,0,8617.5
5,60,2,2,2,1,2,3,28725
1,32,1,1,2,1,0,2,24895
5,24,2,1,5,1,3,2,16277.5
4,71,1,1,1,3,0,0,8617.5
3,31,1,2,1,2,0,1,63195
3,42,2,1,1,2,2,1,16277.5
2,80,2,2,1,2,0,1,0
3,76,2,2,1,2,2,0,12447.5
5,40,2,2,2,2,0,1,1532
5,29,1,2,4,2,3,2,16277.5
2,86,2,2,2,1,0,0,24895
5,53,1,1,1,1,1,1,34470
1,48,2,1,3,2,3,2,16277.5
